[KVCache:finish remote send][RANK 3] remote_send time =0.0021715164184570312,token_num=11
[KVCache:finish remote send][RANK 3] remote_send time =0.002597332000732422,token_num=11
[KVCache:finish remote send][RANK 3] remote_send time =0.0016231536865234375,token_num=17
[KVCache:finish remote send][RANK 3] remote_send time =0.0031981468200683594,token_num=17
[KVCache:finish remote send][RANK 3] remote_send time =0.001478433609008789,token_num=17
[KVCache:finish local move][RANK 3] local_shared time =0.004178524017333984,token_num=8
[KVCache:finish remote send][RANK 3] remote_send time =0.0022420883178710938,token_num=94
[KVCache:finish remote send][RANK 3] remote_send time =0.005968809127807617,token_num=14
[KVCache:finish remote send][RANK 3] remote_send time =0.0028533935546875,token_num=76
[KVCache:finish remote send][RANK 3] remote_send time =0.0025997161865234375,token_num=7
[KVCache:finish remote send][RANK 3] remote_send time =0.0057828426361083984,token_num=7
[KVCache:finish remote send][RANK 3] remote_send time =0.00209808349609375,token_num=7
[KVCache:finish local move][RANK 3] local_shared time =0.002833127975463867,token_num=7
[KVCache:finish remote send][RANK 3] remote_send time =0.004741668701171875,token_num=155
[KVCache:finish remote send][RANK 3] remote_send time =0.003507375717163086,token_num=7
[KVCache:finish remote send][RANK 3] remote_send time =0.0016243457794189453,token_num=7
[KVCache:finish local move][RANK 3] local_shared time =0.002493619918823242,token_num=16
[KVCache:finish remote send][RANK 3] remote_send time =0.0016756057739257812,token_num=11
[KVCache:finish remote send][RANK 3] remote_send time =0.0025877952575683594,token_num=83
[KVCache:finish remote send][RANK 3] remote_send time =0.0014553070068359375,token_num=83
[KVCache:finish local move][RANK 3] local_shared time =0.003658294677734375,token_num=205
[KVCache:finish remote send][RANK 3] remote_send time =0.0016369819641113281,token_num=205
[KVCache:finish remote send][RANK 3] remote_send time =0.0033125877380371094,token_num=4
[KVCache:finish remote send][RANK 3] remote_send time =0.0016429424285888672,token_num=4
[KVCache:finish remote send][RANK 3] remote_send time =0.0019228458404541016,token_num=4
[KVCache:finish local move][RANK 3] local_shared time =0.0043621063232421875,token_num=4
[KVCache:finish remote send][RANK 3] remote_send time =0.004739046096801758,token_num=179
[KVCache:finish remote send][RANK 3] remote_send time =0.002347707748413086,token_num=179
[KVCache:finish local move][RANK 3] local_shared time =0.0032875537872314453,token_num=67
[KVCache:finish local move][RANK 3] local_shared time =0.00390625,token_num=7
[KVCache:finish remote send][RANK 3] remote_send time =0.0033140182495117188,token_num=7
[KVCache:finish remote send][RANK 3] remote_send time =0.001154184341430664,token_num=7
[KVCache:finish remote send][RANK 3] remote_send time =0.0016338825225830078,token_num=9
[KVCache:finish remote send][RANK 3] remote_send time =0.003802061080932617,token_num=14
[KVCache:finish remote send][RANK 3] remote_send time =0.0025949478149414062,token_num=9
[KVCache:finish remote send][RANK 3] remote_send time =0.002640247344970703,token_num=82
[KVCache:finish local move][RANK 3] local_shared time =0.0060198307037353516,token_num=89
[KVCache:finish remote send][RANK 3] remote_send time =0.0025644302368164062,token_num=89
[KVCache:finish remote send][RANK 3] remote_send time =0.0017886161804199219,token_num=89
[KVCache:finish remote send][RANK 3] remote_send time =0.004567623138427734,token_num=13
[KVCache:finish local move][RANK 3] local_shared time =0.0031235218048095703,token_num=13
[KVCache:finish remote send][RANK 3] remote_send time =0.002721548080444336,token_num=13
[KVCache:finish remote send][RANK 3] remote_send time =0.0018131732940673828,token_num=13
[KVCache:finish local move][RANK 3] local_shared time =0.0032813549041748047,token_num=6
[KVCache:finish remote send][RANK 3] remote_send time =0.0020754337310791016,token_num=6
[KVCache:finish remote send][RANK 3] remote_send time =0.0014700889587402344,token_num=6
[KVCache:finish remote send][RANK 3] remote_send time =0.0012099742889404297,token_num=6
[KVCache:finish remote send][RANK 3] remote_send time =0.0010526180267333984,token_num=6
[KVCache:finish remote send][RANK 3] remote_send time =0.005059003829956055,token_num=9
[KVCache:finish remote send][RANK 3] remote_send time =0.002398967742919922,token_num=9
[KVCache:finish local move][RANK 3] local_shared time =0.002890348434448242,token_num=9
[KVCache:finish remote send][RANK 3] remote_send time =0.0013332366943359375,token_num=12
[KVCache:finish local move][RANK 3] local_shared time =0.0025200843811035156,token_num=12
[KVCache:finish remote send][RANK 3] remote_send time =0.0027539730072021484,token_num=12
[KVCache:finish remote send][RANK 3] remote_send time =0.0018198490142822266,token_num=13
[KVCache:finish remote send][RANK 3] remote_send time =0.0016329288482666016,token_num=13
[KVCache:finish remote send][RANK 3] remote_send time =0.002519845962524414,token_num=10
[KVCache:finish local move][RANK 3] local_shared time =0.0054285526275634766,token_num=4
[KVCache:finish remote send][RANK 3] remote_send time =0.0025098323822021484,token_num=4
[KVCache:finish remote send][RANK 3] remote_send time =0.003690958023071289,token_num=15
[KVCache:finish remote send][RANK 3] remote_send time =0.0012445449829101562,token_num=6
[KVCache:finish local move][RANK 3] local_shared time =0.003282308578491211,token_num=6
[KVCache:finish remote send][RANK 3] remote_send time =0.002699136734008789,token_num=99
[KVCache:finish remote send][RANK 3] remote_send time =0.0016582012176513672,token_num=99
[KVCache:finish remote send][RANK 3] remote_send time =0.002519369125366211,token_num=2
[KVCache:finish remote send][RANK 3] remote_send time =0.0012362003326416016,token_num=2
[KVCache:finish local move][RANK 3] local_shared time =0.003586292266845703,token_num=22
[KVCache:finish local move][RANK 3] local_shared time =0.0062236785888671875,token_num=11
[KVCache:finish remote send][RANK 3] remote_send time =0.003299713134765625,token_num=11
[KVCache:finish remote send][RANK 3] remote_send time =0.0031402111053466797,token_num=7
[KVCache:finish remote send][RANK 3] remote_send time =0.0017197132110595703,token_num=7
[KVCache:finish remote send][RANK 3] remote_send time =0.001268148422241211,token_num=7
[KVCache:finish local move][RANK 3] local_shared time =0.0036034584045410156,token_num=7
[KVCache:finish local move][RANK 3] local_shared time =0.0048639774322509766,token_num=10
[KVCache:finish remote send][RANK 3] remote_send time =0.0026960372924804688,token_num=6
[KVCache:finish local move][RANK 3] local_shared time =0.002232074737548828,token_num=122
[KVCache:finish remote send][RANK 3] remote_send time =0.0012996196746826172,token_num=122
[KVCache:finish remote send][RANK 3] remote_send time =0.001961946487426758,token_num=125
[KVCache:finish remote send][RANK 3] remote_send time =0.002154111862182617,token_num=125
[KVCache:finish remote send][RANK 3] remote_send time =0.0016489028930664062,token_num=3
[KVCache:finish remote send][RANK 3] remote_send time =0.0024826526641845703,token_num=3
[KVCache:finish remote send][RANK 3] remote_send time =0.0015866756439208984,token_num=12
[KVCache:finish remote send][RANK 3] remote_send time =0.0011909008026123047,token_num=18
[KVCache:finish remote send][RANK 3] remote_send time =0.004150867462158203,token_num=14
[KVCache:finish remote send][RANK 3] remote_send time =0.0015952587127685547,token_num=14
[KVCache:finish local move][RANK 3] local_shared time =0.003590822219848633,token_num=9
[KVCache:finish remote send][RANK 3] remote_send time =0.002030611038208008,token_num=9
[KVCache:finish remote send][RANK 3] remote_send time =0.0028047561645507812,token_num=9
[KVCache:finish remote send][RANK 3] remote_send time =0.0019221305847167969,token_num=8
[KVCache:finish remote send][RANK 3] remote_send time =0.002995729446411133,token_num=14
[KVCache:finish remote send][RANK 3] remote_send time =0.0019567012786865234,token_num=14
[KVCache:finish remote send][RANK 3] remote_send time =0.002099752426147461,token_num=14
[KVCache:finish remote send][RANK 3] remote_send time =0.003559589385986328,token_num=14
[KVCache:finish remote send][RANK 3] remote_send time =0.003536701202392578,token_num=14
[KVCache:finish remote send][RANK 3] remote_send time =0.0012857913970947266,token_num=19
[KVCache:finish remote send][RANK 3] remote_send time =0.0020856857299804688,token_num=19
[KVCache:finish remote send][RANK 3] remote_send time =0.0028884410858154297,token_num=19
[KVCache:finish remote send][RANK 3] remote_send time =0.0014109611511230469,token_num=17
[KVCache:finish remote send][RANK 3] remote_send time =0.002229452133178711,token_num=17
[KVCache:finish remote send][RANK 3] remote_send time =0.0010540485382080078,token_num=10
[KVCache:finish remote send][RANK 3] remote_send time =0.0007739067077636719,token_num=10
[KVCache:finish remote send][RANK 3] remote_send time =0.0017592906951904297,token_num=10
[KVCache:finish local move][RANK 3] local_shared time =0.0032842159271240234,token_num=10
[KVCache:finish remote send][RANK 3] remote_send time =0.002151012420654297,token_num=11
[KVCache:finish remote send][RANK 3] remote_send time =0.0035822391510009766,token_num=11
[KVCache:finish remote send][RANK 3] remote_send time =0.002704143524169922,token_num=20
[KVCache:finish remote send][RANK 3] remote_send time =0.0024538040161132812,token_num=47
[KVCache:finish remote send][RANK 3] remote_send time =0.002187967300415039,token_num=47
[KVCache:finish remote send][RANK 3] remote_send time =0.0027451515197753906,token_num=47
[KVCache:finish local move][RANK 3] local_shared time =0.005102872848510742,token_num=11
[KVCache:finish remote send][RANK 3] remote_send time =0.0018537044525146484,token_num=15
[KVCache:finish remote send][RANK 3] remote_send time =0.002874612808227539,token_num=11
[KVCache:finish local move][RANK 3] local_shared time =0.004221439361572266,token_num=13
[KVCache:finish remote send][RANK 3] remote_send time =0.0025260448455810547,token_num=13
[KVCache:finish remote send][RANK 3] remote_send time =0.0022182464599609375,token_num=13
[KVCache:finish remote send][RANK 3] remote_send time =0.0033020973205566406,token_num=9
[KVCache:finish local move][RANK 3] local_shared time =0.005816459655761719,token_num=15
[KVCache:finish remote send][RANK 3] remote_send time =0.0030815601348876953,token_num=10
[KVCache:finish local move][RANK 3] local_shared time =0.0025396347045898438,token_num=5
[KVCache:finish remote send][RANK 3] remote_send time =0.002215147018432617,token_num=7
[KVCache:finish remote send][RANK 3] remote_send time =0.0027158260345458984,token_num=7
[KVCache:finish remote send][RANK 3] remote_send time =0.002371072769165039,token_num=12
[KVCache:finish remote send][RANK 3] remote_send time =0.002767801284790039,token_num=11
[KVCache:finish remote send][RANK 3] remote_send time =0.0014836788177490234,token_num=18
[KVCache:finish remote send][RANK 3] remote_send time =0.0029163360595703125,token_num=13
[KVCache:finish remote send][RANK 3] remote_send time =0.0017833709716796875,token_num=13
[KVCache:finish local move][RANK 3] local_shared time =0.00483393669128418,token_num=13
[KVCache:finish remote send][RANK 3] remote_send time =0.003113985061645508,token_num=13
[KVCache:finish remote send][RANK 3] remote_send time =0.002694368362426758,token_num=13
[KVCache:finish remote send][RANK 3] remote_send time =0.0028929710388183594,token_num=9
[KVCache:finish remote send][RANK 3] remote_send time =0.003105640411376953,token_num=9
[KVCache:finish remote send][RANK 3] remote_send time =0.0024213790893554688,token_num=10
[KVCache:finish remote send][RANK 3] remote_send time =0.0010673999786376953,token_num=10
[KVCache:finish local move][RANK 3] local_shared time =0.002069234848022461,token_num=10
[KVCache:finish remote send][RANK 3] remote_send time =0.003110647201538086,token_num=17
[KVCache:finish remote send][RANK 3] remote_send time =0.0015552043914794922,token_num=17
[KVCache:finish remote send][RANK 3] remote_send time =0.0011327266693115234,token_num=17
